X,Y,OBJECTID,Road_System,Route_Num,Route_Section,Milepost,Date_Time,Time_of_Day,City,County,Location_1,Location_Link,Location_2,Latitude,Longitude,Unique_Crash_ID,Intersection_ID,Severity,Uninjured,Level_C_Injuries,Level_B_Injuries,Level_A_Injuries,Fatalities,Agency_Name,Report_Id,Crash_Location,Road_Description,Vehicles,Road_Contour,Road_Cond,Lighting_Cond,Weather,Limit1,Limit2,Limit3,Ramp_Id,Crash_Type,Fixed_Object,Event1,Event2,Event3,Mhe,Animal_Species,Veh1_Dir,Veh1_Type,Driver1_Cond,Veh1_Human_Contr_Factor,Veh1_Speed,Veh1_Movement,Driver1_State,Veh1_HAZMAT,Driver1_Belt,Veh1_Cycle_Prot,Driver1_Inj_Level,Veh2_Dir,Veh2_Type,Driver2_Cond,Veh2_Human_Contr_Factor,Veh2_Speed,Veh2_Movement,Driver2_State,Veh2_HAZMAT,Driver2_Belt,Veh2_Cycle_Prot,Driver2_Inj_Level,Veh3_Dir,Veh3_Type,Driver3_Cond,Veh3_Human_Contr_Factor,Veh3_Speed,Veh3_Movement,Driver3_State,Veh3_HAZMAT,Driver3_Belt,Veh3_Cycle_Prot,Driver3_Inj_Level,Sum_of_Minor_and_Severe,Sum_of_Severe,Bicycle_Involved,Pedestrian_Involved,Motorcycle_Involved,Impairment_Involved,Helmet_Involved,Corridor_1,Corridor_2,Serial_No,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-105.127876592241,39.9821337352234,765745,State Highway,42,A,2.35,2021/11/24 11:00:00+00,1100,LOUISVILLE,BOULDER,1100 COURTESY RD,AT,1100 BLK,39.98000651,-105.12000988,3219055,,No Injury (PDO),2,0,0,0,0,LUPD,,On Road,Non-Intersection,2,Straight On Grade,Dry,Daylight,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,South,Passenger Car/Van,No Impairment Suspected,Driver Preoccupied,0,Slowing,CO,No,Yes,,No Injury (PDO),South,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,1,Unknown,,,,,,0,0,No,,,0,0,,,,,,,,187892,{612C0F14-9748-4911-BCFD-4FA8046B12E8},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.275345000244,40.0166399994621,765746,State Highway,7,B,49.72,2021/12/03 13:54:00+00,1354,BOULDER,BOULDER,15TH ST,AT,CANYON BLVD,40.01664651,-105.27535492,3219103,20429,Possible/Complaint of Injury (C,3,1,0,0,0,BLDPD,,On Road,Intersection,1,Straight On Level,Dry,Daylight,None,0,,,,Bicycle or Pedal Cycle,FO:No,Bicycle or Pedal Cycle,,,Bicycle or Pedal Cycle,,Unknown,Unknown,No Impairment Suspected,No Apparent Contributing Factor,0,Unknown,,No,No,,Possible/Complaint of Injury (C,East,,,,,,0,,Yes,,,Unknown,,No Impairment Suspected,No Apparent Contributing Factor,,,TX,,No,,1,1,0,Bicycle,,,,,,,189360,{C99A9013-4120-44E2-88FA-478C4E0E4153},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.274096999786,40.0168999989352,765747,State Highway,7,B,49.79,2021/09/27 00:00:00+00,0,BOULDER,BOULDER,16TH ST,AT,CANYON BLVD,40.01690651,-105.27410692,3218680,20495,No Injury (PDO),3,0,0,0,0,BLDPD,,On Road,Intersection,2,Straight On Level,Dry,Daylight,None,20,35,,,Broadside,FO:No,Broadside,,,Broadside,,South,SUV,No Impairment Suspected,Driver Inexperience,10,Going Straight,CO,No,Yes,,No Injury (PDO),West,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,20,Going Straight,WA,No,Yes,,1,Unknown,,,,,,0,0,No,,,0,0,,,,,,,,171464,{B886A9CA-155F-40E5-BEB4-0A4FF26BC8EA},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.102290999857,40.1884619988548,765748,State Highway,287,C,317.35,2021/08/16 14:28:00+00,1428,LONGMONT,BOULDER,17TH AVE,AT,MAIN ST,40.18846854,-105.1023009,3218392,3299,No Injury (PDO),2,0,0,0,0,LDPS,,On Road,Intersection,1,Straight On Level,Dry,Daylight,None,0,,,,Bicycle or Pedal Cycle,FO:No,Bicycle or Pedal Cycle,,,Bicycle or Pedal Cycle,,Unknown,Unknown,No Impairment Suspected,Driver Inexperience,0,Unknown,,No,No,,No Injury (PDO),South,,,,,,0,,Yes,,,Unknown,,No Impairment Suspected,No Apparent Contributing Factor,,,CO,,No,,1,0,0,Bicycle,,,,,,,156397,{0C935B1F-B547-4ED1-8B1C-A81FCAAD1233},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.102290999857,40.1884619988548,765749,State Highway,287,C,317.35,2021/10/24 23:50:00+00,2350,LONGMONT,BOULDER,17TH AVE,AT,HWY 287,40.18846854,-105.1023009,3218878,3299,No Injury (PDO),3,0,0,0,0,LDPS,,On Road,Intersection Related,3,Straight On Level,Dry,Dark Lighted,None,35,35,35,,Rear End,FO:No,Rear End,Rear End,,Rear End,,East,SUV,Alcohol,Unknown,25,Going Straight,CO,No,No,,No Injury (PDO),East,SUV,No Impairment Suspected,No Apparent Contributing Factor,5,Slowing,CO,No,Yes,,1,East,Pickup Truck/Utility Van,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,0,Yes,,1,0,0,,,,Impairment,,,,179870,{E5510811-0668-4C85-B3E7-F34C8B393806},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.102307000313,40.1885629991877,765750,State Highway,287,C,317.357,2021/12/07 14:40:00+00,1440,LONGMONT,BOULDER,17TH AVE,AT,MAIN ST,40.18856954,-105.1023169,3219123,3299,"Evident, Incapacitating (A)",1,0,0,1,0,LDPS,,On Road,Intersection,1,Straight On Level,Dry,Daylight,None,0,,,,Pedestrian,FO:No,Pedestrian,,,Pedestrian,,Unknown,Other,No Impairment Suspected,Unknown,0,Unknown,,No,No,,"Evident, Incapacitating (A)",West,,,,,,0,,Yes,,,Unknown,,No Impairment Suspected,No Apparent Contributing Factor,,,CO,,No,,1,1,1,,Pedestrian,,,,,,191420,{2F9C7429-4BF7-4737-8F94-B1C05E902CD7},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.102290999857,40.1884619988548,765751,State Highway,287,C,317.35,2021/12/08 19:14:00+00,1914,LONGMONT,BOULDER,17TH AVE,AT,MAIN ST,40.18846854,-105.1023009,3219134,3299,No Injury (PDO),2,0,0,0,0,LDPS,,On Road,Intersection,2,Straight On Level,Dry,Dark Lighted,None,35,35,,,Rear End,FO:No,Rear End,,,Rear End,,West,Pickup Truck/Utility Van,No Impairment Suspected,No Apparent Contributing Factor,3,Backing,CO,No,Yes,,No Injury (PDO),West,SUV,No Impairment Suspected,No Apparent Contributing Factor,0,Stopped in Traffic,CO,No,Yes,,1,Unknown,,,,,,0,0,No,,,0,0,,,,,,,,197134,{BC5F4057-C90C-42CD-A51D-6B9624C587BB},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.269230999651,40.0042859990079,765752,State Highway,93,A,17.84,2021/09/13 18:59:00+00,1859,BOULDER,BOULDER,18TH ST,00040FS,BROADWAY,40.00429251,-105.26924092,3218566,32028,No Injury (PDO),1,0,0,0,0,BLDPD,,Off Road Right,Intersection,1,Straight On Grade,Dry,Dark Lighted,None,20,,,,Traffic Sign or Post or Overhead Sign Structure,FO:Yes,Traffic Sign or Post or Overhead Sign Structure,,,Traffic Sign or Post or Overhead Sign Structure,,Northeast,Passenger Car/Van,No Impairment Suspected,No Apparent Contributing Factor,10,Avoiding Object/Vehicle in Roadway,TX,No,Yes,,No Injury (PDO),Unknown,,,,,,0,,No,,,Unknown,,,,,,0,,No,,,0,0,,,,,,,,166831,{AC24908C-FAB0-4CFE-BF0D-99299E4D097C},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.269488000118,40.0044239986227,765753,State Highway,93,A,17.85,2021/09/18 21:10:00+00,2110,BOULDER,BOULDER,18TH ST,AT,BROADWAY,40.00443051,-105.26949792,3218597,32028,Possible/Complaint of Injury (C,1,1,0,0,0,BLDPD,,On Road,Intersection,1,Straight On Grade,Dry,Dark Lighted,None,25,,,,Pedestrian,FO:No,Pedestrian,,,Pedestrian,,South,SUV,No Impairment Suspected,Unknown,10,Slowing,CO,No,Yes,,No Injury (PDO),Unknown,,No Impairment Suspected,No Apparent Contributing Factor,,,,,No,,2,Unknown,,,,,,0,0,No,,,1,0,,Pedestrian,,,,,,170292,{F9C30590-5E09-4897-AB88-2CEF2BCECBE6},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
-105.260119000084,40.0003159991168,765754,State Highway,36,E,0.19,2021/04/28 12:42:00+00,1242,BOULDER,BOULDER,27TH WAY,AT,BASELINE ROAD,40.00032251,-105.26012892,3217736,1229,No Injury (PDO),2,0,0,0,0,BLDPD,,On Road,Intersection,2,Curve On Level,Dry,Daylight,None,25,25,,,Rear End,FO:No,Rear End,,,Rear End,,South,SUV,No Impairment Suspected,No Apparent Contributing Factor,10,Making Right Turn,WA,No,Yes,,No Injury (PDO),South,Pickup Truck/Utility Van,No Impairment Suspected,No Apparent Contributing Factor,0,Making Right Turn,CO,No,Yes,,1,Unknown,,,,,,0,0,No,,,0,0,,,,,,,,121897,{153FCCD5-E6F2-49F4-AA72-EDBD3D9A6BD4},TRANSPORTATION,2024/04/24 11:42:09+00,TRANSPORTATION,2024/04/24 11:42:09+00
