Road_System,City,Longitude Crash,Latitude Crash,Severity,Nearest Traffic Sign Distance,Nearest Traffic Sign Latitude,Nearest Traffic Sign Longitude,Nearest Traffic Sign Maxspeed
State Highway,LOUISVILLE,39.98000651,-105.1200099,No Injury (PDO),0.1268338529515755,-105.1094574,39.9621577,35 mph
State Highway,BOULDER,40.01664651,-105.2753549,Possible/Complaint of Injury (C,0.04987453885111324,-105.276522,40.0000128,25 mph
State Highway,BOULDER,40.01690651,-105.2741069,No Injury (PDO),0.051925649654180575,-105.2724261,40.0001562,25 mph
State Highway,LONGMONT,40.18846854,-105.1023009,No Injury (PDO),0.00954335597070752,-105.102508,40.191703,35 mph
State Highway,LONGMONT,40.18846854,-105.1023009,No Injury (PDO),0.00954335597070752,-105.102508,40.191703,35 mph
State Highway,LONGMONT,40.18856954,-105.1023169,"Evident, Incapacitating (A)",0.009220900097866427,-105.102508,40.191703,35 mph
State Highway,LONGMONT,40.18846854,-105.1023009,No Injury (PDO),0.00954335597070752,-105.102508,40.191703,35 mph
State Highway,BOULDER,40.00429251,-105.2692409,No Injury (PDO),0.013599461401160803,-105.2686563,40.0001546,25 mph
State Highway,BOULDER,40.00443051,-105.2694979,Possible/Complaint of Injury (C,0.015460104265964378,-105.2686563,40.0001546,25 mph
State Highway,BOULDER,40.00032251,-105.2601289,No Injury (PDO),0.005536165331277182,-105.2606297,40.0005172,30 mph
State Highway,BOULDER,40.00809451,-105.2587689,No Injury (PDO),0.001973543592189124,-105.2588914,40.0075962,35 mph
State Highway,BOULDER,40.01740551,-105.2584529,No Injury (PDO),0.0024074507003196293,-105.2583931,40.0182057,35 mph
State Highway,BOULDER,40.03306951,-105.2584299,Possible/Complaint of Injury (C,0.0031478014500721306,-105.2582781,40.0339916,35 mph
State Highway,BOULDER,40.03672751,-105.2584569,No Injury (PDO),0.0035526758103428375,-105.2586385,40.0357123,35 mph
State Highway,BOULDER,40.02441851,-105.2584209,No Injury (PDO),0.0036710295304337955,-105.2583576,40.0231731,35 mph
State Highway,BOULDER,40.02724251,-105.2583879,PDO,0.0019067747308713079,-105.2582417,40.0275967,35 mph
State Highway,BOULDER,40.02065351,-105.2584759,No Injury (PDO),0.002302004752383042,-105.2585885,40.019983,35 mph
State Highway,BOULDER,40.02753851,-105.2583899,No Injury (PDO),0.0016384664136215633,-105.2582417,40.0275967,35 mph
State Highway,BOULDER,40.02041651,-105.2584779,No Injury (PDO),0.00174743918709804,-105.2585885,40.019983,35 mph
State Highway,BOULDER,40.01728751,-105.2584549,No Injury (PDO),0.002282879490861955,-105.2583942,40.0165332,35 mph
State Highway,BOULDER,40.04373151,-105.2585209,Evident Non-Incapacitating (B),0.004075448263714669,-105.2584361,40.0451023,45 mph
State Highway,BOULDER,40.01453551,-105.2585469,No Injury (PDO),0.001886533923188629,-105.2585776,40.0138942,35 mph
State Highway,BOULDER,40.03644151,-105.2584549,No Injury (PDO),0.0029207591814483787,-105.2586385,40.0357123,35 mph
State Highway,BOULDER,40.01453551,-105.2585469,No Injury (PDO),0.001886533923188629,-105.2585776,40.0138942,35 mph
