"osm_id","name","contents","direction","highway","lamp_mount","lamps","mapillary","material","maxspeed","maxspeed:advisory","power","source","source:maxspeed","support","survey:date","traffic_sign","geometry"
"1818168034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.524771, 40.190198)
"1818168132",NA,NA,NA,NA,NA,NA,NA,NA,"20 mph",NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.5305855, 40.1947149)
"1818180589",NA,"Trailhead Parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.533433, 40.1738359)
"1819698798",NA,NA,"350",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.5301909, 40.1983259)
"1819698853",NA,NA,"330",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.5222388, 40.2094279)
"1819698859",NA,NA,"170",NA,NA,NA,NA,NA,"55 mph",NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.5236012, 40.2112895)
"1819698993",NA,NA,"300",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.5288641, 40.2276472)
"1819699002",NA,NA,"170",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.5312961, 40.2318125)
"1819699031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.5309019, 40.2377924)
"1819712012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.5356766, 40.2569457)
"2897458392",NA,NA,NA,NA,NA,NA,NA,"steel","40 mph",NA,"pole",NA,NA,NA,NA,"maxspeed",c(-105.245108, 39.9999926)
"4806501588",NA,NA,NA,NA,NA,NA,NA,NA,"55 mph",NA,NA,"Mapillary",NA,NA,NA,"maxspeed",c(-105.0579574, 40.000355)
"4843022876",NA,NA,NA,NA,NA,NA,NA,NA,"55 mph",NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.2327827, 39.9525786)
"4843022877",NA,NA,NA,NA,NA,NA,NA,NA,"45 mph",NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.2315354, 39.9559834)
"4843022878",NA,NA,NA,NA,NA,NA,NA,NA,"45 mph",NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.2334881, 39.9508257)
"4843022879",NA,NA,NA,NA,NA,NA,NA,NA,"50 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2315033, 39.954096)
"4843022882",NA,NA,NA,NA,NA,NA,NA,NA,"40 mph",NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.2377903, 39.9724645)
"4843022883",NA,NA,NA,NA,NA,NA,NA,NA,"50 mph",NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.2374899, 39.9718322)
"4843022884",NA,NA,NA,NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2626933, 39.9985266)
"5157834019",NA,NA,"310","street_lamp",NA,"2",NA,NA,"65 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.1116115, 39.9249064)
"5174155863",NA,NA,"0","street_lamp",NA,NA,NA,NA,"35 mph",NA,NA,"Bing;survey",NA,NA,NA,"maxspeed",c(-105.2585885, 40.019983)
"5182799641",NA,NA,NA,"street_lamp",NA,NA,NA,NA,"35 mph",NA,NA,"Bing",NA,NA,NA,"maxspeed",c(-105.2545093, 40.0001446)
"5226874161",NA,NA,NA,NA,NA,NA,NA,NA,"35 mph",NA,NA,NA,NA,NA,NA,"maxspeed",c(-105.1698353, 39.9570841)
"5973922978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.188217, 39.9669955)
"5973923312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.188112, 39.9669977)
"5973923380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.1873391, 39.9667447)
"5973923448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.187992, 39.9669765)
"5973923478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",c(-105.187627, 39.9668166)
"6173309119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stop",c(-105.1320152, 39.9778206)
"6804427967",NA,NA,"130",NA,NA,NA,NA,NA,"65 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.0969481, 39.9179857)
"6804427968",NA,NA,"120",NA,NA,NA,NA,NA,"65 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.1021635, 39.9200818)
"6804427969",NA,NA,"120",NA,NA,NA,NA,NA,"65 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.1033223, 39.920879)
"6804427970",NA,NA,"140",NA,NA,NA,NA,NA,"65 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.1484909, 39.9469278)
"6804427971",NA,NA,"120",NA,NA,NA,NA,NA,"65 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.1783688, 39.963009)
"6804427972",NA,NA,"130",NA,NA,NA,NA,NA,"60 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2301256, 39.9846479)
"6804427973",NA,NA,"130",NA,NA,NA,NA,NA,"60 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2303437, 39.9845883)
"6804427974",NA,NA,"130",NA,NA,NA,NA,NA,"60 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2381508, 39.9885867)
"6804427975",NA,NA,"130",NA,NA,NA,NA,NA,"60 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2382976, 39.9884546)
"6804427976",NA,NA,"130",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2519114, 39.9963494)
"6804427977",NA,NA,"130",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2518225, 39.9964701)
"6804427978",NA,NA,"180",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2584759, 40.0020473)
"6804427979",NA,NA,"180",NA,NA,NA,NA,NA,"40 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2586474, 40.0021053)
"6804427980",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2585336, 40.0054992)
"6804427981",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2586125, 40.0088047)
"6804427982",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2585111, 40.0091123)
"6804427983",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2586546, 40.012309)
"6804427984",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2585441, 40.0123102)
"6806957080",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2583791, 40.0156317)
"6806957081",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2582011, 40.0155785)
"6806957082",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2583931, 40.0182057)
"6806957083",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2582234, 40.018244)
"6806957084",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2583576, 40.0231731)
"6806985085",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2582121, 40.0231626)
"6806985086",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2582417, 40.0275967)
"6806985087",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2582887, 40.030796)
"6806985088",NA,NA,"180",NA,NA,NA,NA,NA,"35 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2582781, 40.0339916)
"6806985089",NA,NA,"180",NA,NA,NA,NA,NA,"45 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2582934, 40.0378309)
"6806985090",NA,NA,"180",NA,NA,NA,NA,NA,"45 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2583906, 40.0410863)
"6806985091",NA,NA,"180",NA,NA,NA,NA,NA,"45 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2584361, 40.0451023)
"6806985092",NA,NA,"130",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2616979, 40.0526612)
"6806985093",NA,NA,"130",NA,NA,NA,NA,NA,"55 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.2771873, 40.062302)
"6806985094",NA,NA,"170",NA,NA,NA,NA,NA,"60 mph",NA,NA,"survey",NA,NA,NA,"maxspeed",c(-105.283114, 40.0688315)
